Semaine;Martinique (LC);Guadeloupe (GP);Saint Martin (ile d Amérique du nord) (MF);Republique Dominicaine (DO);Sainte Lucie (LC);Barbade (BB)
2021-10-03;4,00;4,00;8,00;48,00;16,00;32,00
2021-10-10;3,00;4,50;4,50;34,50;15,00;30,00
2021-10-17;3,00;9,00;12,00;78,00;24,00;30,00
2021-10-24;3,00;6,00;12,00;72,00;24,00;26,00
2021-10-31;4,00;4,00;10,00;48,00;16,00;32,00
2021-11-07;5,00;5,00;7,50;62,50;22,50;29,00
2021-11-14;2,00;4,00;8,00;48,00;24,00;30,00
2021-11-21;4,00;8,00;4,00;48,00;36,00;32,00
2021-11-28;5,00;7,50;12,50;60,00;30,00;100,00
2021-12-05;5,00;5,00;10,00;57,50;27,50;35,00
2021-12-12;3,00;6,00;12,00;93,00;36,00;28,00
2021-12-19;3,00;6,00;15,00;84,00;36,00;27,00
2021-12-26;4,00;6,00;10,00;44,00;24,00;40,00
